Model,Reference,Protocol,Brand,ManufacturerURL,Remark,Type,Cable,SupportURL,Message,MaxDelayToComplete,ControlCoverage,Bidrectionnal,Selected,Number,Lens,Network,Base
VC-BC 601,LumensVCBC601P,Not still documented,Lumens,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN wired,Fixed
VC-BC 701,LumensVCBC701P,Not still documented,Lumens,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN wired,Fixed
CV225,MarshallCV225,Marshall Breakout,Marshall,,,Mini Camera,CY-CBL-6P-PFAN,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN wired,Fixed
CV226,MarshallCV226,Marshall Breakout,Marshall,,,Mini Camera,CY-CBL-6P-PFAN,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN wired,Fixed
CV345,MarshallCV345,Marshall Hirose,Marshall,https://marshall-usa.com/discontinued/cameras/CV345.php,,Mini Camera,CY-CBL-6P-MARS-02,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN wired,Fixed
CV350,MarshallCV350,Not still documented,Marshall,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN wired,Fixed
CV355-10X,MarshallCV35510X,Marshall Ethernet,Marshall,https://marshall-usa.com/cameras/CV355-10X-IP/,,Mini Camera,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,,False,0,Fixed,LAN wired,Fixed
CV355-30X,MarshallCV35530X,Marshall Ethernet,Marshall,https://marshall-usa.com/cameras/CV355-30X-IP/,,Mini Camera,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,,False,0,Fixed,LAN wired,Fixed
CV366,MarshallCV366,Marshall Hirose,Marshall,https://marshall-usa.com/cameras/CV568/,,Mini Camera,CY-CBL-6P-MARS-02,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN wired,Fixed
CV368,MarshallCV368,Marshall Hirose,Marshall,https://marshall-usa.com/cameras/CV568/,,Mini Camera,CY-CBL-6P-MARS-02,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN wired,Fixed
CV370,MarshallCV370,Marshall Ethernet,Marshall,https://marshall-usa.com/cameras/CV568/,,Mini Camera,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,,False,0,Fixed,LAN wired,Fixed
CV374,MarshallCV374,Marshall Ethernet,Marshall,https://marshall-usa.com/cameras/CV568/,,Mini Camera,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,,False,0,Fixed,LAN wired,Fixed
CV420,MarshallCV420,Marshall Ethernet,Marshall,https://marshall-usa.com/cameras/CV420-30X/,,Mini Camera,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,,False,0,Fixed,LAN wired,Fixed
CV420-30X,MarshallCV42030X,Not still documented,Marshall,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN wired,Fixed
CV420-30X-RS232,MarshallCV42030X232,Not still documented,Marshall,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN wired,Fixed
CV500,MarshallCV500,Marshall PushLock,Marshall,https://marshall-usa.com/discontinued/cameras/CV500-MB.php,,Mini Camera,CY-CBL-6P-FAN100,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN wired,Fixed
CV502,MarshallCV502,Marshall PushLock,Marshall,https://marshall-usa.com/discontinued/cameras/CV502-MB.php,,Mini Camera,CY-CBL-6P-FAN100,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN wired,Fixed
CV503,MarshallCV503,Marshall Breakout,Marshall,,,Mini Camera,CY-CBL-6P-PFAN,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN wired,Fixed
CV504,MarshallCV504,Marshall Hirose,Marshall,https://marshall-usa.com/cameras/CV504/,,Mini Camera,CY-CBL-6P-MARS-02,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN wired,Fixed
CV506,MarshallCV506,Marshall Breakout,Marshall,,,Mini Camera,CY-CBL-6P-PFAN,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN wired,Fixed
CV530,MarshallCV530,Marshall Hirose,Marshall,https://marshall-usa.com/discontinued/cameras/CV503.php,,Mini Camera,CY-CBL-6P-MARS-02,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN wired,Fixed
CV566,MarshallCV566,Marshall Hirose,Marshall,https://marshall-usa.com/cameras/CV568/,,Mini Camera,CY-CBL-6P-MARS-02,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN wired,Fixed
CV568,MarshallCV568,Marshall Hirose,Marshall,https://marshall-usa.com/cameras/CV568/,,Mini Camera,CY-CBL-6P-MARS-02,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN wired,Fixed
CV570,MarshallCV570,Marshall Ethernet,Marshall,https://marshall-usa.com/cameras/CV568/,,Mini Camera,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,,False,0,Fixed,LAN wired,Fixed
CV574,MarshallCV574,Marshall Ethernet,Marshall,https://marshall-usa.com/cameras/CV568/,,Mini Camera,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,,False,0,Fixed,LAN wired,Fixed
CV605,MarshallCV605,Not still documented,Marshall,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN wired,Fixed
CV630,MarshallCV630,Marshall PTZ,Marshall,https://marshall-usa.com/cameras/CV630-IP/,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,2.0,,False,0,Fixed,LAN wired,Fixed
CV730,MarshallCV730,Marshall PTZ,Marshall,https://marshall-usa.com/cameras/CV730/,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,2.0,,False,0,Fixed,LAN wired,Fixed
MarshallGeneric,MarshallGeneric,Not still documented,Marshall,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN wired,Fixed
QDCam,QDCam,Not still documented,MediaEdge,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN wired,Fixed
