Model,Reference,Protocol,Brand,LensMount,ManufacturerURL,Remark,Type,Cable,SupportURL,Message,MaxDelayToComplete,ControlCoverage,Bidirectionnal,Selected,Number,Lens,Network,Base
CV345,MarshallCV345,Marshall Hirose,Marshall,MFT-Mount,https://marshall-usa.com/discontinued/cameras/CV345.php,,Mini Camera,CY-CBL-6P-MARS-02,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed
CV355-10X,MarshallCV35510X,Marshall Ethernet,Marshall,No-Xchange-Motorized,https://marshall-usa.com/cameras/CV355-10X-IP/,,Mini Camera,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,,False,0,Fixed,LAN Wired,Fixed
CV355-30X,MarshallCV35530X,Marshall Ethernet,Marshall,No-Xchange-Motorized,https://marshall-usa.com/cameras/CV355-10X-IP/,,Mini Camera,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,,False,0,Fixed,LAN Wired,Fixed
CV366,MarshallCV366,Marshall Hirose,Marshall,MFT-Mount,https://marshall-usa.com/cameras/CV366/,,Mini Camera,CY-CBL-6P-MARS-02,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed
CV368,MarshallCV368,Marshall Hirose,Marshall,MFT-Mount,https://marshall-usa.com/cameras/CV368/,,Mini Camera,CY-CBL-6P-MARS-02,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed
CV370,MarshallCV370,Marshall Ethernet,Marshall,MFT-Mount,https://marshall-usa.com/cameras/CV370/,,Mini Camera,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,,False,0,Fixed,LAN Wired,Fixed
CV374,MarshallCV374,Marshall Ethernet,Marshall,MFT-Mount,https://marshall-usa.com/cameras/CV374/,,Mini Camera,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,,False,0,Fixed,LAN Wired,Fixed
CV420,MarshallCV420,Marshall Ethernet,Marshall,MFT-Mount,https://marshall-usa.com/cameras/CV420-30X/,,Mini Camera,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,,False,0,Fixed,LAN Wired,Fixed
CV500,MarshallCV500,Marshall PushLock,Marshall,MFT-Mount,https://marshall-usa.com/discontinued/cameras/CV500-MB.php,,Mini Camera,CY-CBL-6P-FAN100,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed
CV502,MarshallCV502,Marshall PushLock,Marshall,MFT-Mount,https://marshall-usa.com/discontinued/cameras/CV502-MB.php,,Mini Camera,CY-CBL-6P-FAN100,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed
CV503,MarshallCV503,Marshall Hirose,Marshall,MFT-Mount,https://www.marcameurope.com/product/cv503/,,Mini Camera,CY-CBL-6P-MARS-02,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed
CV504,MarshallCV504,Marshall Hirose,Marshall,MFT-Mount,https://marshall-usa.com/cameras/CV504/,,Mini Camera,CY-CBL-6P-MARS-02,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed
CV506,MarshallCV506,Marshall Hirose,Marshall,MFT-Mount,https://www.marcameurope.com/product/cv506/,,Mini Camera,CY-CBL-6P-MARS-02,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed
CV530,MarshallCV530,Marshall Hirose,Marshall,MFT-Mount,https://marshall-usa.com/discontinued/cameras/CV503.php,,Mini Camera,CY-CBL-6P-MARS-02,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed
CV566,MarshallCV566,Marshall Hirose,Marshall,MFT-Mount,https://marshall-usa.com/cameras/CV566/,,Mini Camera,CY-CBL-6P-MARS-02,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed
CV568,MarshallCV568,Marshall Hirose,Marshall,MFT-Mount,https://marshall-usa.com/cameras/CV568/,,Mini Camera,CY-CBL-6P-MARS-02,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed
CV570,MarshallCV570,Marshall Ethernet,Marshall,MFT-Mount,https://marshall-usa.com/cameras/CV570/,,Mini Camera,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,,False,0,Fixed,LAN Wired,Fixed
CV574,MarshallCV574,Marshall Ethernet,Marshall,MFT-Mount,https://marshall-usa.com/cameras/CV574/,,Mini Camera,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,,False,0,Fixed,LAN Wired,Fixed
CV620-BI-WI,MarshallCV620-BI-WI,Marshall VISCA IP,Marshall,No-Xchange-Motorized,https://marshall-usa.com/cameras/CV620-BI-WI/,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Generic/IPCamera,,,,,False,0,Fixed,LAN Wired,Fixed
CV630,MarshallCV630,Marshall PTZ,Marshall,No-Xchange-Motorized,https://marshall-usa.com/cameras/CV630-IP/,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed
CV730,MarshallCV730,Marshall PTZ,Marshall,No-Xchange-Motorized,https://marshall-usa.com/cameras/CV730/,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed
CV350,MarshallCV350,Not still documented,Marshall,MFT-Mount,https://marshall-usa.com/discontinued/cameras/CV350.php,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
CV420-30X,MarshallCV42030X,Not still documented,Marshall,No-Xchange-Manual,https://marshall-usa.com/discontinued/cameras/CV420-30X-IP.php,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
CV420-30X-RS232,MarshallCV42030X232,Not still documented,Marshall,No-Xchange-Motorized,https://marshall-usa.com/discontinued/cameras/CV420-30X.php,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
CV605,MarshallCV605,Not still documented,Marshall,MFT-Mount,https://marshall-usa.com/cameras/CV605/,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
MARSHALLGENERIC,MarshallGeneric,Not still documented,Marshall,MFT-Mount,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
