Model,Reference,Protocol,Brand,LensMount,ManufacturerURL,Remark,Type,Cable,SupportURL,Message,MaxDelayToComplete,ControlCoverage,Bidirectionnal,Selected,Number,Lens,Network,Base,CameraLensCategory,lensControl,lensType,lensMotor,LensTypes
RX0 MARK 2,DSC-RX0M2,Sony Mirrorless,Sony,Unknown,https://www.sony.co.uk/electronics/cyber-shot-compact-cameras/dsc-rx0m2,,Mirrorless,USB-A-to-USB-C,https://support.cyanview.com/docs/Integrations/Sony/SonyMirrorless,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
SONY 6700,ILCE-6700,Sony Mirrorless,Sony,Unknown,,,Mirrorless,USB-A-to-USB-C,https://support.cyanview.com/docs/Integrations/Sony/SonyMirrorless,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
ZV E1,ZV E1,Sony Mirrorless,Sony,Unknown,,,Mirrorless,USB-A-to-USB-C,https://support.cyanview.com/docs/Integrations/Sony/SonyMirrorless,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
BRC-H800,BRCH800,Sony PTZ,Sony,No-Xchange-Motorized,,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Sony/SonyPTZ,,500.0,5.0,,False,0,Fixed,LAN Wired,Fixed,IZF Integrated,IZF,Camera Integrated,No extra motors,
BRC-H900,BRCH900,Sony PTZ,Sony,No-Xchange-Motorized,,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Sony/SonyPTZ,,500.0,5.0,,False,0,Fixed,LAN Wired,Fixed,IZF Integrated,IZF,Camera Integrated,No extra motors,
BRC-X1000,BRCX1000,Sony PTZ,Sony,No-Xchange-Motorized,,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Sony/SonyPTZ,,500.0,5.0,,False,0,Fixed,LAN Wired,Fixed,IZF Integrated,IZF,Camera Integrated,No extra motors,
BRC-X400,BRCX400,Sony PTZ,Sony,No-Xchange-Motorized,,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Sony/SonyPTZ,,500.0,5.0,,False,0,Fixed,LAN Wired,Fixed,IZF Integrated,IZF,Camera Integrated,No extra motors,
FR7,SonyFr7,Sony FR7,Sony,E-Mount,https://pro.sony/products/ptz-network-cameras/ilme-fr7,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Sony/SonyFR7,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,IZF Integrated,IZF,Camera Integrated,No extra motors,
PDW-700,PDW-700,Sony 8-Pin,Sony,B4-Mount,https://pro.sony/products/shoulder-camcorders/pdw-700,,Shoulder Camcorder,CY-CBL-SONY-8P-03,https://support.cyanview.com/docs/Integrations/Sony/Sony8Pin,Our solutions offers the same color control than the Sony RCP,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Broadcast,No Need,B4-Mount,No extra motors,
PDW-800,PDW-F800,Sony 8-Pin,Sony,B4-Mount,https://pro.sony/ue_US/products/shoulder-camcorders/pdw-f800,"Sony 8-Pin pour CDC, Ethernet pour broadcast (Tally,……)",Shoulder Camcorder,CY-CBL-SONY-8P-03,https://support.cyanview.com/docs/Integrations/Sony/Sony8Pin,Our solutions offers the same color control than the Sony RCP,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Broadcast,No Need,B4-Mount,No extra motors,
PMW-EX3,PMW-EX3,Sony 8-Pin,Sony,No-Xchange-Motorized,,"Poor control, no zoom and focus control on that legacy protocol",Shoulder Camcorder,CY-CBL-SONY-8P-03,https://support.cyanview.com/docs/Integrations/Sony/Sony8Pin,Our solutions offers the same color control than the Sony RCP,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Broadcast,No Need,B4-Mount,No extra motors,
PXW-350,PXW-X350,Sony 8-Pin,Sony,No-Xchange-Motorized,https://pro.sony/products/handheld-camcorders/pxw-x350,,Shoulder Camcorder,CY-CBL-SONY-8P-03,https://support.cyanview.com/docs/Integrations/Sony/Sony8Pin,Our solutions offers the same color control than the Sony RCP,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Broadcast,No Need,B4-Mount,No extra motors,
PXW-500,PXW-X500,Sony 8-Pin,Sony,B4-Mount,https://pro.sony/products/shoulder-camcorders/pmw-500,"Sony 8-Pin pour CDC, Ethernet pour broadcast (Tally,……)",Shoulder Camcorder,CY-CBL-SONY-8P-03,https://support.cyanview.com/docs/Integrations/Sony/Sony8Pin,Our solutions offers the same color control than the Sony RCP,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Broadcast,No Need,B4-Mount,No extra motors,
Z750-LEGACY,PXW-Z750-Legacy,Sony 8-Pin,Sony,B4-Mount,https://pro.sony/products/shoulder-camcorders/pxw-z750,,Shoulder Camcorder,CY-CBL-SONY-8P-03,https://support.cyanview.com/docs/Integrations/Sony/Sony8Pin,Our solutions offers the same color control than the Sony RCP,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Broadcast,No Need,B4-Mount,No extra motors,
Z90,PXW-Z90,Not controllable,Sony,No-Xchange-Motorized,https://pro.sony/products/handheld-camcorders/pxw-z90,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,This camera is not remotely controllable.,,0.0,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors,
P50,HDC-P50,Not still documented,Sony,B4-Mount,https://pro.sony/products/4k-and-hd-camera-systems/hdc-p50,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors,
PMW-EX1,PMW-EX1,Not controllable,Sony,No-Xchange-Motorized,https://pro.sony/fr_CH/products/handheld-camcorders/pmw-ex1,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,This camera is not remotely controllable.,,0.0,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors,
PXW-200,PXW-X200,Not compatible,Sony,No-Xchange-Motorized,https://pro.sony/fr_BE/products/handheld-camcorders/pxw-x200,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,The camera protocol has not been integrated due to the low demand on this camera.,,0.0,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors,
IK-HD1,Ikhd1,Not still documented,Toshiba,Unknown,,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors,
IK-HD5,Ikhd5,Not still documented,Toshiba,Unknown,,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors,
PTZOPTICS-GENERIC,PtzOptics,Not still documented,VHD,No-Xchange-Motorized,,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors,
PHD-02XP,PHD02XP,Not still documented,VisionResearch,Unknown,,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors,
PH,VisionResearch,Not still documented,VisionResearch,B4-Mount,,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors,
BULLET HD,Yushida,Not still documented,Yushida,No-Xchange-Motorized,https://www.microdvrcamera.com/product/Bullet-Full-HD-1080p-High-Speed-Auto-Focus-USB-Camera.html,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors,
