Reference,Protocol,Brand,LensMount,ManufacturerURL,Remark,Type,Cable,SupportURL,Message,MaxDelayToComplete,ControlCoverage,Bidirectionnal,Selected,Number,Lens,Network,Base,CameraLensCategory,lensControl,lensType,lensMotor
CanonXF705,Canon RemoteA,Canon,No-Xchange-Motorized,,,CineStyle,CY-CBL-6P-LANC-1,https://support.cyanview.com/docs/Integrations/Canon/CanonRemoteA,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD
CanonR5,Canon Mirrorless,Canon,EF-Mount,,,Mirrorless,USB-A-to-USB-C,https://support.cyanview.com/docs/Integrations/Canon/CanonMirrorless,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD
CanonCRN300,Canon PTZ,Canon,No-Xchange-Motorized,https://www.canon.fr/ptz-cameras/cr-n300/,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Canon/CanonPTZ,,500.0,5.0,,False,0,Fixed,LAN Wired,Fixed,IZF Integrated,IZF,Camera Integrated,No extra motors
CanonCRN500,Canon PTZ,Canon,No-Xchange-Motorized,https://www.canon.fr/ptz-cameras/cr-n500/,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Canon/CanonPTZ,,500.0,5.0,,False,0,Fixed,LAN Wired,Fixed,IZF Integrated,IZF,Camera Integrated,No extra motors
CanonCRN700,Canon PTZ,Canon,No-Xchange-Motorized,https://www.canon.fr/ptz-cameras/cr-n700/,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Canon/CanonPTZ,,500.0,5.0,,False,0,Fixed,LAN Wired,Fixed,IZF Integrated,IZF,Camera Integrated,No extra motors
CanonCRX500,Canon PTZ,Canon,No-Xchange-Motorized,,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Canon/CanonPTZ,,500.0,5.0,,False,0,Fixed,LAN Wired,Fixed,IZF Integrated,IZF,Camera Integrated,No extra motors
CISHD1,CIS HR10A,CIS,S-Mount,,,Minicam,CY-CBL-6P-CIS-02,Planned to be documented  202407,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Fixed Lens,No Need,Manual,No extra motors
CISHD10ZM,CIS HR10A,CIS,S-Mount,,,Minicam,CY-CBL-6P-CIS-02,Planned to be documented  202407,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Fixed Lens,No Need,Manual,No extra motors
CIS,CIS HR10A,CIS,S-Mount,,,Minicam,CY-CBL-6P-CIS-02,Planned to be documented  202407,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Fixed Lens,No Need,Manual,No extra motors
CISHD3,CIS HR10A,CIS,S-Mount,,,Minicam,CY-CBL-6P-CIS-02,Planned to be documented  202407,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Fixed Lens,No Need,Manual,No extra motors
AtomOne,DreamChip Serial,DreamChip,S-Mount,https://www.atom-one.de,,Minicam Motorizable,CY-CBL-6P-DCHIP-02,https://support.cyanview.com/docs/Integrations/Dreamchip/,,500.0,5.0,,False,0,Fixed,LAN Wired,Fixed,Minicam Motorizable Lens,No Need,Manual,No extra motors
